[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=11 e2=KInt info=0 r1=11 r2=138 freereg=15 nactvar=14 line=169
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=15 r1=12 r2=15 freereg=16 nactvar=14 line=169
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=172
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=173
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=174
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=14 line=175
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=16 r1=9 r2=16 freereg=17 nactvar=15 line=178
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=132 freereg=16 nactvar=15 line=178
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=16 r1=9 r2=16 freereg=17 nactvar=15 line=180
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=129 freereg=16 nactvar=15 line=180
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=181
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=182
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=184
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=185
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=186
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=187
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=188
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=193
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=19 r1=15 r2=19 freereg=20 nactvar=18 line=202
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=206
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=212
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=212
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=17 r1=16 r2=17 freereg=18 nactvar=15 line=217
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=223
[cg_emit_eq] e1=NonReloc info=16 e2=NonReloc info=18 r1=16 r2=18 freereg=19 nactvar=17 line=227
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=5 r1=4 r2=5 freereg=6 nactvar=3 line=233
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=21 nactvar=20 line=236
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=128 freereg=22 nactvar=20 line=236
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=130 freereg=22 nactvar=20 line=236
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=131 freereg=22 nactvar=20 line=236
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=131 freereg=22 nactvar=20 line=236
[cg_emit_eq] e1=NonReloc info=22 e2=NonReloc info=23 r1=22 r2=23 freereg=24 nactvar=21 line=245
